ID,Level,Parent_ID,Package,Task_Name,Duration_Days,Start_Date,Finish_Date,Percent_Complete,Resource_Names,Milestone,Notes,Status
WP-OCE-001,1,,PELAYANAN UMUM,Diberikan aliran listrik dari darat ke kapal selam,,2025-10-10,2025-10-11,56%,gras teit,TRUE,Click to view full detail,ACTIVE
WP-OCE-001-T01,2,WP-OCE-001,LEGACY,Realisasi,,2025-10-11,2025-10-20,12%,test,FALSE,Click to view full detail,ACTIVE
WP-OCE-001-T02,2,WP-OCE-001,REALISASI,Diselesaikan crane untuk bongkar / pasang perance dan nai,,mm/dd/yyyy,mm/dd/yyyy,100%,test02,FALSE,Click to view full detail,COMPLETED

TEMPLATE_ROW_1,1,,PACKAGE_NAME,PARENT_TASK_NAME,DURATION,START_DATE,END_DATE,0%,RESOURCE_NAME,TRUE/FALSE,NOTES,ACTIVE
TEMPLATE_ROW_1_SUB1,2,TEMPLATE_ROW_1,SUB_PACKAGE,CHILD_TASK_NAME,DURATION,START_DATE,END_DATE,0%,RESOURCE_NAME,TRUE/FALSE,NOTES,ACTIVE
TEMPLATE_ROW_1_SUB2,2,TEMPLATE_ROW_1,SUB_PACKAGE,CHILD_TASK_NAME_2,DURATION,START_DATE,END_DATE,0%,RESOURCE_NAME,TRUE/FALSE,NOTES,ACTIVE

TEMPLATE_ROW_2,1,,PACKAGE_NAME_2,PARENT_TASK_NAME_2,DURATION,START_DATE,END_DATE,0%,RESOURCE_NAME,TRUE/FALSE,NOTES,ACTIVE
TEMPLATE_ROW_2_SUB1,2,TEMPLATE_ROW_2,SUB_PACKAGE_2,CHILD_TASK_NAME_3,DURATION,START_DATE,END_DATE,0%,RESOURCE_NAME,TRUE/FALSE,NOTES,ACTIVE